n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
0.0,Ba,Bi,O,0,0,0,2.15,1.6,0.6,0,0.0
0.0,Ba,Ce,O,0,0,0,2.15,1.85,0.6,0,0.0
0.0,Ba,Fe,O,0,0,0,2.15,1.4,0.6,0,0.0
0.0,Ba,Ir,O,0,0,0,2.15,1.35,0.6,0,0.0
1.0,Ba,Ir,O,0,0,0,2.15,1.35,0.6,0,0.01947380196429993
3.0,Ba,Ir,O,0,0,0,2.15,1.35,0.6,0,0.00021139852942564374
0.0,Ba,Li,F,0,0,0,2.15,1.45,0.5,0,0.0
0.0,Ba,Mo,O,0,0,0,2.15,1.45,0.6,0,0.0
0.0,Ba,Nb,O,0,0,0,2.15,1.45,0.6,0,0.0
0.0,Ba,Np,O,0,0,0,2.15,1.75,0.6,0,0.0
0.0,Ba,Os,O,0,0,0,2.15,1.3,0.6,0,0.0
1.0,Ba,Os,O,0,0,0,2.15,1.3,0.6,1,0.06677261846154359
0.0,Ba,Pa,O,0,0,0,2.15,1.8,0.6,0,0.0
0.0,Ba,Pb,O,0,0,0,2.15,1.8,0.6,0,0.0
1.0,Ba,Pb,O,0,0,0,2.15,1.8,0.6,0,0.0
0.0,Ba,Pb,O,0,0,0,2.15,1.8,0.6,0,0.0
1.0,Ba,Pb,O,0,0,0,2.15,1.8,0.6,0,0.0
0.0,Ba,Pr,O,0,0,0,2.15,1.85,0.6,0,0.0
0.0,Ba,Pu,O,0,0,0,2.15,1.75,0.6,0,0.0
0.0,Ba,Sn,O,0,0,0,2.15,1.45,0.6,0,0.0
1.0,Ba,Sn,O,0,0,0,2.15,1.45,0.6,0,0.0
3.0,Ba,Sn,O,0,0,0,2.15,1.45,0.6,1,0.04853893352941174
3.0,Ba,Sn,O,0,0,0,2.15,1.45,0.6,1,0.005834144411764441
0.0,Ba,Tb,O,0,0,0,2.15,1.75,0.6,0,0.0
0.0,Ba,Th,O,0,0,0,2.15,1.8,0.6,0,0.0
0.0,Ba,Ti,O,0,0,0,2.15,1.4,0.6,0,0.0
3.0,Ba,Ti,O,0,0,0,2.15,1.4,0.6,1,0.024692230588231112
0.0,Ba,V,O,0,0,0,2.15,1.35,0.6,0,0.0
0.0,Ba,Zr,O,0,0,0,2.15,1.55,0.6,0,0.0
1.0,Ba,Zr,O,0,0,0,2.15,1.55,0.6,0,0.0
2.0,Ba,Zr,O,0,0,0,2.15,1.55,0.6,1,0.0
0.0,Ca,Si,O,0,0,0,1.8,1.1,0.6,0,0.0
1.0,Ca,Si,O,0,0,0,1.8,1.1,0.6,0,0.18881341178571454
0.0,Ca,Sn,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Ca,Sn,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Ca,Ti,O,0,0,0,1.8,1.4,0.6,0,0.0
1.0,Ca,Ti,O,0,0,0,1.8,1.4,0.6,1,0.036095245357147476
0.0,Ca,Zr,O,0,0,0,1.8,1.55,0.6,0,0.0
0.0,Ce,Al,O,0,0,0,1.85,1.25,0.6,0,0.0
0.0,Ce,Cr,O,0,0,0,1.85,1.4,0.6,0,0.0
0.0,Ce,Ga,O,0,0,0,1.85,1.3,0.6,0,0.0
0.0,Ce,Ga,O,0,0,0,1.85,1.3,0.6,0,0.0
0.0,Ce,V,O,0,0,0,1.85,1.35,0.6,0,0.0
0.0,Pb,Cr,O,0,0,0,1.8,1.4,0.6,0,0.0
0.0,Cs,Au,Cl,0,0,0,2.6,1.35,1.0,0,0.0
0.0,Cs,Ca,Br,0,0,0,2.6,1.8,1.15,0,0.0
1.0,Cs,Ca,Br,0,0,0,2.6,1.8,1.15,1,0.0
0.0,Cs,Ca,F,0,0,0,2.6,1.8,0.5,0,0.0
1.0,Cs,Ca,F,0,0,0,2.6,1.8,0.5,0,0.0
0.0,Cs,Cd,Br,0,0,0,2.6,1.55,1.15,0,0.0
0.0,Cs,Cd,Cl,0,0,0,2.6,1.55,1.0,0,0.0
0.0,Cs,Cd,F,0,0,0,2.6,1.55,0.5,0,0.0
0.0,Cs,Eu,Cl,0,0,0,2.6,1.85,1.0,0,0.0
0.0,Cs,Eu,F,0,0,0,2.6,1.85,0.5,0,0.0
0.0,Cs,Fe,F,0,0,0,2.6,1.4,0.5,0,0.0
3.0,Cs,Fe,F,0,0,0,2.6,1.4,0.5,0,0.0
0.0,Cs,Ge,Br,0,0,0,2.6,1.25,1.15,0,0.0
0.0,Cs,Hg,Br,0,0,0,2.6,1.5,1.15,0,0.0
0.0,Cs,Hg,Cl,0,0,0,2.6,1.5,1.0,0,0.0
0.0,Cs,Hg,F,0,0,0,2.6,1.5,0.5,0,0.0
1.0,Cs,Hg,F,0,0,0,2.6,1.5,0.5,0,0.0
0.0,Cs,Mg,F,0,0,0,2.6,1.5,0.5,0,0.0
3.0,Cs,Mg,F,0,0,0,2.6,1.5,0.5,0,0.0
0.0,Cs,Pb,Br,0,0,0,2.6,1.8,1.15,0,0.0
0.0,Cs,Pb,Cl,0,0,0,2.6,1.8,1.0,0,0.0
0.0,Cs,Pb,F,0,0,0,2.6,1.8,0.5,0,0.0
0.0,Cs,Pb,I,0,0,0,2.6,1.8,1.4,0,0.0
0.0,Cs,Sm,Cl,0,0,0,2.6,1.85,1.0,0,0.0
0.0,Cs,Sn,Br,0,0,0,2.6,1.45,1.15,0,0.0
0.0,Cs,Sn,Cl,0,0,0,2.6,1.45,1.0,0,0.0
0.0,Cs,Sn,I,0,0,0,2.6,1.45,1.4,0,0.0
0.0,Cs,Sr,F,0,0,0,2.6,2.0,0.5,0,0.0
0.0,Cs,Tm,Cl,0,0,0,2.6,1.75,1.0,0,0.0
1.0,Cs,Tm,Cl,0,0,0,2.6,1.75,1.0,0,0.15577054182540095
0.0,Eu,Nb,O,0,0,0,1.85,1.45,0.6,0,0.0
0.0,Eu,Ti,O,0,0,0,1.85,1.4,0.6,0,0.0
1.0,Eu,Ti,O,0,0,0,1.85,1.4,0.6,1,0.0
2.0,Eu,Ti,O,0,0,0,1.85,1.4,0.6,1,0.00027171291668715014
3.0,Eu,Ti,O,0,0,0,1.85,1.4,0.6,1,0.0032556188235464134
0.0,Bi,Fe,O,0,0,0,1.6,1.4,0.6,0,0.0
0.0,Pb,Ge,O,0,0,0,1.8,1.25,0.6,0,0.0
0.0,Pb,Hf,O,0,0,0,1.8,1.55,0.6,0,0.0
0.0,K,Ca,F,0,0,0,2.2,1.8,0.5,0,0.0
0.0,K,Cd,F,0,0,0,2.2,1.55,0.5,0,0.0
0.0,K,Co,F,0,0,0,2.2,1.35,0.5,0,0.0
1.0,K,Co,F,0,0,0,2.2,1.35,0.5,0,0.08233011714285876
2.0,K,Co,F,0,0,0,2.2,1.35,0.5,0,0.0
0.0,K,Fe,F,0,0,0,2.2,1.4,0.5,0,0.0
0.0,K,Hg,F,0,0,0,2.2,1.5,0.5,0,0.0
0.0,K,Mg,F,0,0,0,2.2,1.5,0.5,0,0.0
1.0,K,Mg,F,0,0,0,2.2,1.5,0.5,0,0.0
0.0,K,Mn,F,0,0,0,2.2,1.4,0.5,0,0.0
1.0,K,Mn,F,0,0,0,2.2,1.4,0.5,0,0.0
2.0,K,Mn,F,0,0,0,2.2,1.4,0.5,0,0.0
0.0,K,Nb,O,0,0,0,2.2,1.45,0.6,0,0.0
0.0,K,Ni,F,0,0,0,2.2,1.35,0.5,0,0.0
1.0,K,Ni,F,0,0,0,2.2,1.35,0.5,0,0.0
2.0,K,Ni,F,0,0,0,2.2,1.35,0.5,0,0.0
0.0,K,Pd,F,0,0,0,2.2,1.4,0.5,0,0.0
0.0,K,Ta,O,0,0,0,2.2,1.45,0.6,0,0.0
0.0,K,U,O,0,0,0,2.2,1.75,0.6,0,0.0
1.0,K,U,O,0,0,0,2.2,1.75,0.6,0,0.0
0.0,K,V,F,0,0,0,2.2,1.35,0.5,0,0.0
0.0,K,Zn,F,0,0,0,2.2,1.35,0.5,0,0.0
1.0,K,Zn,F,0,0,0,2.2,1.35,0.5,0,0.0
2.0,K,Zn,F,0,0,0,2.2,1.35,0.5,0,0.0
0.0,La,Al,O,0,0,0,1.95,1.25,0.6,0,0.0
0.0,La,Co,O,0,0,0,1.95,1.35,0.6,0,0.0
1.0,La,Co,O,0,0,0,1.95,1.35,0.6,0,0.07255574464285353
3.0,La,Co,O,0,0,0,1.95,1.35,0.6,0,0.09074489176470557
1.0,La,Co,O,0,0,0,1.95,1.35,0.6,1,0.04971088107142485
0.0,La,Cr,O,0,0,0,1.95,1.4,0.6,0,0.0
0.0,La,Fe,O,0,0,0,1.95,1.4,0.6,0,0.0
0.0,La,Ga,O,0,0,0,1.95,1.3,0.6,0,0.0
0.0,La,Ga,O,0,0,0,1.95,1.3,0.6,0,0.0
0.0,La,Mn,O,0,0,0,1.95,1.4,0.6,0,0.0
0.0,La,Ti,O,0,0,0,1.95,1.4,0.6,0,0.0
0.0,La,V,O,0,0,0,1.95,1.35,0.6,0,0.0
0.0,Mn,N,Cl,0,0,0,1.4,0.65,1.0,0,0.0
1.0,Mn,N,Cl,0,0,0,1.4,0.65,1.0,1,1.3436882857142844
0.0,Mn,N,F,0,0,0,1.4,0.65,0.5,0,0.0
0.0,Tl,Mn,Cl,0,0,0,1.9,1.4,1.0,0,0.0
0.0,Na,Mg,F,0,0,0,1.8,1.5,0.5,0,0.0
0.0,Na,Nb,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Na,Ta,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Na,V,F,0,0,0,1.8,1.35,0.5,0,0.0
0.0,Na,W,O,0,0,0,1.8,1.35,0.6,0,0.0
0.0,Ag,Nb,O,0,0,0,1.6,1.45,0.6,0,0.0
0.0,Nd,Al,O,0,0,0,1.85,1.25,0.6,0,0.0
0.0,Nd,Co,O,0,0,0,1.85,1.35,0.6,0,0.0
1.0,Nd,Co,O,0,0,0,1.85,1.35,0.6,1,0.13076057928570783
0.0,Nd,Cr,O,0,0,0,1.85,1.4,0.6,0,0.0
0.0,Nd,Ga,O,0,0,0,1.85,1.3,0.6,0,0.0
0.0,Nd,V,O,0,0,0,1.85,1.35,0.6,0,0.0
0.0,Ni,N,F,0,0,0,1.35,0.65,0.5,0,0.0
1.0,Ni,N,F,0,0,0,1.35,0.65,0.5,1,1.6153764342857135
0.0,Pr,Al,O,0,0,0,1.85,1.25,0.6,0,0.0
0.0,Pr,Co,O,0,0,0,1.85,1.35,0.6,0,0.0
1.0,Pr,Co,O,0,0,0,1.85,1.35,0.6,1,0.10703406089285394
0.0,Pr,Cr,O,0,0,0,1.85,1.4,0.6,0,0.0
0.0,Pr,Ga,O,0,0,0,1.85,1.3,0.6,0,0.0
0.0,Pr,V,O,0,0,0,1.85,1.35,0.6,0,0.0
0.0,Rb,Ca,F,0,0,0,2.35,1.8,0.5,0,0.0
0.0,Rb,Cd,F,0,0,0,2.35,1.55,0.5,0,0.0
0.0,Rb,Fe,F,0,0,0,2.35,1.4,0.5,0,0.0
1.0,Rb,Fe,F,0,0,0,2.35,1.4,0.5,1,0.0
0.0,Rb,Ge,I,0,0,0,2.35,1.25,1.4,0,0.0
0.0,Rb,Hg,F,0,0,0,2.35,1.5,0.5,0,0.0
1.0,Rb,Hg,F,0,0,0,2.35,1.5,0.5,0,0.0
0.0,Rb,Mg,F,0,0,0,2.35,1.5,0.5,0,0.0
1.0,Rb,Mg,F,0,0,0,2.35,1.5,0.5,0,0.0
0.0,Rb,Mn,F,0,0,0,2.35,1.4,0.5,0,0.0
1.0,Rb,Mn,F,0,0,0,2.35,1.4,0.5,1,0.0
0.0,Rb,Pb,F,0,0,0,2.35,1.8,0.5,0,0.0
0.0,Rb,Pd,F,0,0,0,2.35,1.4,0.5,0,0.0
0.0,Rb,U,O,0,0,0,2.35,1.75,0.6,0,0.0
1.0,Rb,U,O,0,0,0,2.35,1.75,0.6,0,0.0
0.0,Rb,V,F,0,0,0,2.35,1.35,0.5,0,0.0
0.0,Sm,Co,O,0,0,0,1.85,1.35,0.6,0,0.0
0.0,Sm,Cr,O,0,0,0,1.85,1.4,0.6,0,0.0
0.0,Sm,V,O,0,0,0,1.85,1.35,0.6,0,0.0
0.0,Sn,C,Cl,0,0,0,1.45,0.7,1.0,0,0.0
0.0,Sr,Co,O,0,0,0,2.0,1.35,0.6,0,0.0
1.0,Sr,Co,O,0,0,0,2.0,1.35,0.6,0,0.011216256071428177
0.0,Sr,Cr,O,0,0,0,2.0,1.4,0.6,0,0.0
1.0,Sr,Cr,O,0,0,0,2.0,1.4,0.6,0,0.033936408749998925
3.0,Sr,Cr,O,0,0,0,2.0,1.4,0.6,1,0.06295009650735839
0.0,Sr,Fe,O,0,0,0,2.0,1.4,0.6,0,0.0
1.0,Sr,Fe,O,0,0,0,2.0,1.4,0.6,0,0.0
2.0,Sr,Fe,O,0,0,0,2.0,1.4,0.6,0,0.0
0.0,Sr,Ge,O,0,0,0,2.0,1.25,0.6,0,0.0
0.0,Sr,Hf,O,0,0,0,2.0,1.55,0.6,0,0.0
1.0,Sr,Hf,O,0,0,0,2.0,1.55,0.6,1,0.018622709999998932
2.0,Sr,Hf,O,0,0,0,2.0,1.55,0.6,1,0.021197374999999852
3.0,Sr,Hf,O,0,0,0,2.0,1.55,0.6,1,0.007250575882359556
0.0,Sr,Mn,O,0,0,0,2.0,1.4,0.6,0,0.0
1.0,Sr,Mn,O,0,0,0,2.0,1.4,0.6,0,0.00657690035713987
2.0,Sr,Mn,O,0,0,0,2.0,1.4,0.6,0,0.028049522361125234
3.0,Sr,Mn,O,0,0,0,2.0,1.4,0.6,0,0.0033996247549170633
0.0,Sr,Mo,O,0,0,0,2.0,1.45,0.6,0,0.0
1.0,Sr,Mo,O,0,0,0,2.0,1.45,0.6,0,0.017990347857142375
2.0,Sr,Mo,O,0,0,0,2.0,1.45,0.6,1,0.04025732916667035
0.0,Sr,Nb,O,0,0,0,2.0,1.45,0.6,0,0.0
0.0,Sr,Ru,O,0,0,0,2.0,1.3,0.6,0,0.0
1.0,Sr,Ru,O,0,0,0,2.0,1.3,0.6,0,0.0
2.0,Sr,Ru,O,0,0,0,2.0,1.3,0.6,0,0.00523286166666459
3.0,Sr,Ru,O,0,0,0,2.0,1.3,0.6,0,0.0
0.0,Sr,Si,O,0,0,0,2.0,1.1,0.6,0,0.0
0.0,Sr,Sn,O,0,0,0,2.0,1.45,0.6,0,0.0
1.0,Sr,Sn,O,0,0,0,2.0,1.45,0.6,0,0.005311964285715121
1.0,Sr,Sn,O,0,0,0,2.0,1.45,0.6,0,0.0008078342857160692
0.0,Sr,Tc,O,0,0,0,2.0,1.35,0.6,0,0.0
1.0,Sr,Tc,O,0,0,0,2.0,1.35,0.6,0,0.037539396428570626
0.0,Sr,Ti,O,0,0,0,2.0,1.4,0.6,0,0.0
1.0,Sr,Ti,O,0,0,0,2.0,1.4,0.6,0,0.0
2.0,Sr,Ti,O,0,0,0,2.0,1.4,0.6,0,0.0
3.0,Sr,Ti,O,0,0,0,2.0,1.4,0.6,0,0.0
0.0,Sr,V,O,0,0,0,2.0,1.35,0.6,0,0.0
1.0,Sr,V,O,0,0,0,2.0,1.35,0.6,0,0.025702391999993246
2.0,Sr,V,O,0,0,0,2.0,1.35,0.6,0,0.0
3.0,Sr,V,O,0,0,0,2.0,1.35,0.6,0,0.04697741522706789
0.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,0,0.0
1.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,1,0.034574683928568106
2.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,1,0.038820267916664264
0.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,0,0.0
1.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,1,0.034574683928568106
2.0,Sr,Zr,O,0,0,0,2.0,1.55,0.6,1,0.038820267916664264
0.0,Sn,Ta,O,0,0,0,1.45,1.45,0.6,0,0.0
0.0,Cd,Ti,O,0,0,0,1.55,1.4,0.6,0,0.0
0.0,Pb,Ti,O,0,0,0,1.8,1.4,0.6,0,0.0
0.0,Pb,V,O,0,0,0,1.8,1.35,0.6,0,0.0
0.0,Ag,Zn,F,0,0,0,1.6,1.35,0.5,0,0.0
0.0,Pb,Zr,O,0,0,0,1.8,1.55,0.6,0,0.0
0.0,Ba,C,O,0,0,0,2.15,0.7,0.6,0,0.0
0.0,Ba,Ge,,0,0,0,2.15,1.25,0.0,0,0.0
0.0,Ba,Pb,,0,0,0,2.15,1.8,0.0,0,0.0
0.0,Ba,Si,,0,0,0,2.15,1.1,0.0,0,0.0
0.0,Ba,Sn,,0,0,0,2.15,1.45,0.0,0,0.0
0.0,Ba,Ce,O,0,0,0,2.15,1.85,0.6,0,0.0
0.0,Ba,N,,0,0,0,2.15,0.65,0.0,0,0.0
0.0,Ba,Hf,S,0,0,0,2.15,1.55,1.0,0,0.0
1.0,Ba,Hf,S,0,0,0,2.15,1.55,1.0,0,0.0
3.0,Ba,Hf,S,0,0,0,2.15,1.55,1.0,0,0.021636369117648435
4.0,Ba,Hf,S,0,0,0,2.15,1.55,1.0,0,0.025942471704557768
5.0,Ba,Hf,S,0,0,0,2.15,1.55,1.0,0,0.02902676259260417
0.0,Ba,N,,0,0,0,2.15,0.65,0.0,0,0.0
0.0,Ba,Pr,O,0,0,0,2.15,1.85,0.6,0,0.0
0.0,Ba,Pu,O,0,0,0,2.15,1.75,0.6,0,0.0
0.0,Ba,Sn,S,0,0,0,2.15,1.45,1.0,0,0.0
0.0,Ba,U,S,0,0,0,2.15,1.75,1.0,0,0.0
0.0,Ba,Zr,S,0,0,0,2.15,1.55,1.0,0,0.0
1.0,Ba,Zr,S,0,0,0,2.15,1.55,1.0,0,0.0015515849999943043
2.0,Ba,Zr,S,0,0,0,2.15,1.55,1.0,0,0.004885149583333082
3.0,Ba,Zr,S,0,0,0,2.15,1.55,1.0,0,0.02901593441172068
0.0,Be,N,F,0,0,0,1.05,0.65,0.5,0,0.0
0.0,Bi,Rh,O,0,0,0,1.6,1.35,0.6,0,0.0
0.0,Ca,Ge,,0,0,0,1.8,1.25,0.0,0,0.0
0.0,Ca,Sb,,0,0,0,1.8,1.45,0.0,0,0.0
0.0,Ca,Au,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Pd,,0,0,0,1.8,1.4,0.0,0,0.0
0.0,Ca,C,O,0,0,0,1.8,0.7,0.6,0,0.0
0.0,Ca,C,O,0,0,0,1.8,0.7,0.6,0,0.0
0.0,Ca,Au,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Pd,,0,0,0,1.8,1.4,0.0,0,0.0
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Cr,O,0,0,0,1.8,1.4,0.6,0,0.0
0.0,Ca,Ge,,0,0,0,1.8,1.25,0.0,0,0.0
0.0,Ca,Fe,O,0,0,0,1.8,1.4,0.6,0,0.0
0.0,Ca,Au,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Au,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Ge,O,0,0,0,1.8,1.25,0.6,0,0.0
1.0,Ca,Ge,O,0,0,0,1.8,1.25,0.6,0,0.14636045928571306
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Hf,S,0,0,0,1.8,1.55,1.0,0,0.0
0.0,Ca,Au,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Pd,,0,0,0,1.8,1.4,0.0,0,0.0
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Rh,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Ir,O,0,0,0,1.8,1.35,0.6,0,0.0
0.0,Ca,Ge,,0,0,0,1.8,1.25,0.0,0,0.0
0.0,Pb,Ca,,0,0,0,1.8,1.8,0.0,0,0.0
0.0,Ca,Pd,,0,0,0,1.8,1.4,0.0,0,0.0
0.0,Ca,Si,,0,0,0,1.8,1.1,0.0,0,0.0
0.0,Ca,Sn,,0,0,0,1.8,1.45,0.0,0,0.0
0.0,Ca,Mn,O,0,0,0,1.8,1.4,0.6,0,0.0
1.0,Ca,Mn,O,0,0,0,1.8,1.4,0.6,0,0.02099508202381095
2.0,Ca,Mn,O,0,0,0,1.8,1.4,0.6,0,0.05733825277777971
0.0,Ca,Mo,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Ca,N,Cl,0,0,0,1.8,0.65,1.0,0,0.0
0.0,Ca,Nb,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Pb,Ca,O,0,0,0,1.8,1.8,0.6,0,0.0
0.0,Pb,Ca,,0,0,0,1.8,1.8,0.0,0,0.0
0.0,Pb,Ca,,0,0,0,1.8,1.8,0.0,0,0.0
0.0,Ca,Rh,O,0,0,0,1.8,1.35,0.6,0,0.0
0.0,Ca,Ru,O,0,0,0,1.8,1.3,0.6,0,0.0
1.0,Ca,Ru,O,0,0,0,1.8,1.3,0.6,0,0.03182612821428599
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Au,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Sn,O,0,0,0,1.8,1.45,0.6,0,0.0
0.0,Ca,Pd,,0,0,0,1.8,1.4,0.0,0,0.0
0.0,Ca,Pt,,0,0,0,1.8,1.35,0.0,0,0.0
0.0,Ca,Tc,O,0,0,0,1.8,1.35,0.6,0,0.0
0.0,Ca,Ti,O,0,0,0,1.8,1.4,0.6,0,0.0
1.0,Ca,Ti,O,0,0,0,1.8,1.4,0.6,1,0.036095245357147476
0.0,Ca,V,O,0,0,0,1.8,1.35,0.6,0,0.0
0.0,Ca,Zr,O,0,0,0,1.8,1.55,0.6,0,0.0
0.0,Ca,Zr,S,0,0,0,1.8,1.55,1.0,0,0.0
0.0,Cd,Ge,O,0,0,0,1.55,1.25,0.6,0,0.0
0.0,In,Cd,Br,0,0,0,1.55,1.55,1.15,0,0.0
0.0,Cd,N,Cl,0,0,0,1.55,0.65,1.0,0,0.0
0.0,Cd,N,F,0,0,0,1.55,0.65,0.5,0,0.0
0.0,Cd,Sn,O,0,0,0,1.55,1.45,0.6,0,0.0
0.0,Cd,Tc,O,0,0,0,1.55,1.35,0.6,0,0.0
-1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
-1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
0.0,Ce,Au,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Ir,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Pt,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Rh,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Ru,,0,0,0,1.85,1.3,0.0,0,0.0
0.0,Ce,Rh,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,B,O,0,0,0,1.85,0.85,0.6,0,0.0
0.0,Ce,Cr,S,0,0,0,1.85,1.4,1.0,0,0.0
0.0,Ce,Cr,Se,0,0,0,1.85,1.4,1.15,0,0.0
0.0,Ce,Dy,S,0,0,0,1.85,1.75,1.0,0,0.0
0.0,Ce,Er,S,0,0,0,1.85,1.75,1.0,0,0.0
0.0,Ce,Ni,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Pd,,0,0,0,1.85,1.4,0.0,0,0.0
0.0,Ce,Pt,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Rh,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Au,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Ir,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Pd,,0,0,0,1.85,1.4,0.0,0,0.0
0.0,Ce,Rh,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Sn,,0,0,0,1.85,1.45,0.0,0,0.0
0.0,Ce,Ge,,0,0,0,1.85,1.25,0.0,0,0.0
0.0,Ce,Pt,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Sn,,0,0,0,1.85,1.45,0.0,0,0.0
0.0,Ce,Ir,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Rh,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Sc,O,0,0,0,1.85,1.6,0.6,0,0.0
0.0,Ce,Sc,S,0,0,0,1.85,1.6,1.0,0,0.0
0.0,Ce,Pd,,0,0,0,1.85,1.4,0.0,0,0.0
0.0,Ce,Pt,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Tm,S,0,0,0,1.85,1.75,1.0,0,0.0
0.0,Ce,V,O,0,0,0,1.85,1.35,0.6,0,0.0
0.0,Ce,Au,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Pd,,0,0,0,1.85,1.4,0.0,0,0.0
0.0,Ce,Pt,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Ce,Rh,,0,0,0,1.85,1.35,0.0,0,0.0
0.0,Rh,Co,,0,0,0,1.35,1.35,0.0,0,0.0
0.0,Mo,Co,,0,0,0,1.45,1.35,0.0,0,0.0
0.0,W,Co,,0,0,0,1.35,1.35,0.0,0,0.0
0.0,Bi,Co,O,0,0,0,1.6,1.35,0.6,0,0.0
0.0,Co,P,,0,0,0,1.35,1.0,0.0,0,0.0
0.0,W,Co,,0,0,0,1.35,1.35,0.0,0,0.0
0.0,Co,B,,0,0,0,1.35,0.85,0.0,0,0.0
0.0,Ni,Co,,0,0,0,1.35,1.35,0.0,0,0.0
0.0,Bi,Cr,O,0,0,0,1.6,1.4,0.6,0,0.0
0.0,Cr,P,,0,0,0,1.4,1.0,0.0,0,0.0
0.0,Cr,Si,,0,0,0,1.4,1.1,0.0,0,0.0
0.0,Cr,P,,0,0,0,1.4,1.0,0.0,0,0.0
0.0,Cr,Ga,Se,0,0,0,1.4,1.3,1.15,0,0.0
0.0,In,Cr,O,0,0,0,1.55,1.4,0.6,0,0.0
0.0,Cr,P,,0,0,0,1.4,1.0,0.0,0,0.0
0.0,Sb,Cr,S,0,0,0,1.45,1.4,1.0,0,0.0
0.0,Sb,Cr,Se,0,0,0,1.45,1.4,1.15,0,0.0
0.0,Cr,Ni,,0,0,0,1.4,1.35,0.0,0,0.0
0.0,Cs,Be,F,0,0,0,2.6,1.05,0.5,0,0.0
0.0,Cs,Dy,I,0,0,0,2.6,1.75,1.4,0,0.0
0.0,Cs,Eu,Br,0,0,0,2.6,1.85,1.15,0,0.0
0.0,Cs,Pb,Br,0,0,0,2.6,1.8,1.15,0,0.0
0.0,Cs,Pb,Br,0,0,0,2.6,1.8,1.15,0,0.0
0.0,Cs,Pb,I,0,0,0,2.6,1.8,1.4,0,0.0
0.0,Cs,Sn,I,0,0,0,2.6,1.45,1.4,0,0.0
0.0,Cs,Sn,I,0,0,0,2.6,1.45,1.4,0,0.0
0.0,Dy,Au,,0,0,0,1.75,1.35,0.0,0,0.0
0.0,Dy,Al,O,0,0,0,1.75,1.25,0.6,0,0.0
0.0,Dy,Pd,,0,0,0,1.75,1.4,0.0,0,0.0
0.0,Dy,Pt,,0,0,0,1.75,1.35,0.0,0,0.0
0.0,Dy,Pd,,0,0,0,1.75,1.4,0.0,0,0.0
0.0,Dy,Ge,,0,0,0,1.75,1.25,0.0,0,0.0
0.0,Dy,Co,O,0,0,0,1.75,1.35,0.6,0,0.0
0.0,Dy,Si,,0,0,0,1.75,1.1,0.0,0,0.0
